figure	panel	script	source_table	source_table_hash	dataset	analysis_unit	filters	transformation	plotted_metric	statistical_summary	comparator	caveat
Extended Data 3	A	manuscript/scripts/build_extended_data.py	native_scale/25k/source_table.tsv;native_scale/100k/source_table.tsv;native_scale/250k/source_table.tsv	50873116693ac4660bb5d7ddacedcf496e5cbea69a6f11ca8232ba527c9fc065;ca8ad6a688a43b613e5238302f24d5ce16623f75511bc278460a75566dbb0203;2f65d3de9bc66fb13aeca45a8857a9a6562d16f97a059400dbb36f532f46eded	Wells native 25k/100k/250k	receptor-only native object	deterministic subsets	bytes to decimal MB	serialized object size	observed point estimates	AIRR baseline; chain annotation; cell summary	Storage and memory depend on host and HDF5 compression.
Extended Data 3	B	manuscript/scripts/build_extended_data.py	native_scale/25k/source_table.tsv;native_scale/100k/source_table.tsv;native_scale/250k/source_table.tsv	50873116693ac4660bb5d7ddacedcf496e5cbea69a6f11ca8232ba527c9fc065;ca8ad6a688a43b613e5238302f24d5ce16623f75511bc278460a75566dbb0203;2f65d3de9bc66fb13aeca45a8857a9a6562d16f97a059400dbb36f532f46eded	Wells native 25k/100k/250k	receptor-only native object	deterministic subsets	none	write and reload wall time	observed point estimates	write versus reload	Storage and memory depend on host and HDF5 compression.
Extended Data 3	C	manuscript/scripts/build_extended_data.py	native_scale/25k/source_table.tsv;native_scale/100k/source_table.tsv;native_scale/250k/source_table.tsv	50873116693ac4660bb5d7ddacedcf496e5cbea69a6f11ca8232ba527c9fc065;ca8ad6a688a43b613e5238302f24d5ce16623f75511bc278460a75566dbb0203;2f65d3de9bc66fb13aeca45a8857a9a6562d16f97a059400dbb36f532f46eded	Wells native 25k/100k/250k	receptor-only native object	deterministic subsets	kB to decimal GB	peak RSS	observed point estimates	Python parent versus RFU child process	Storage and memory depend on host and HDF5 compression.
Extended Data 3	D	manuscript/scripts/build_extended_data.py	tests/test_scverse_native.py;docs/scverse_storage_schema.md	d1a8fbfbcf3dc703a02066820319a690cb8f31d2ca37bb029dff053ec7035b85;c196ab38d7e812ff5cb5cce4c717acc8a6db9545a59808ad13866d22bd3ef622	synthetic native fixtures	observation and AIRR chain	supported schema	technical assertion matrix	pass/reject status	exact tests	before and after scverse operation	Technical interoperability evidence, not a biological effect.
Extended Data 5	A	manuscript/scripts/build_extended_data.py	scirpy_comparator/representation_summary.tsv	5c052a38c0f393ee76982393b8cefeba40f7f5afa36ee68f05f58df579de7efd	GSE190905	sample-by-feature matrix	identical 12 samples and candidate sets	log10 feature axis only	feature count and sparsity	descriptive matrix statistics	six representations	Different representations lead different endpoints; RFU is not universally superior.
Extended Data 5	B	manuscript/scripts/build_extended_data.py	scirpy_comparator/pairwise_summary.tsv	fc46a0a703db511589a08b20458d6bf3852fbe4773a72c33fba5e019694009ea	GSE190905	patient-time sample pair	identical 12 samples and candidate sets	within mean minus between mean	cosine donor contrast	difference of source means	five defined representations	Different representations lead different endpoints; RFU is not universally superior.
Extended Data 5	C	manuscript/scripts/build_extended_data.py	scirpy_comparator/retrieval_summary.tsv	1dad4adb237bf4bdc7f8bed8cfd3dc6dbcad9d067c49430a1c92c45f19c6ae65	GSE190905	held-out sample	identical 12 samples and candidate sets	none	top-1 and MRR	12 queries	six representations	Different representations lead different endpoints; RFU is not universally superior.
Extended Data 5	D	manuscript/scripts/build_extended_data.py	scirpy_comparator/downsampling_summary.tsv	a09b7e8bdd9c0110a8589f2f97b1e381965faf0e1ae7ee9677353ed3129b2443	GSE190905	sample-seed representation	identical 12 samples and candidate sets	cosine to full vector	mean cosine ± SD	36 observations per cell	six representations	Different representations lead different endpoints; RFU is not universally superior.
Extended Data 6	A	manuscript/scripts/build_extended_data.py	source_tables/vdjdb_sensitivity_summary.tsv	78d9c9832559b6227a770d833cfc4e129a8fc80a2f4efd93ffed10b9fb34e5b2	Wells; GSE190905; GSE157007 plus VDJdb	distinct matched sequence	all 24 frozen match/assignment/ambiguity combinations	policy matrix	exact-match fraction	descriptive frozen combinations	matching and ambiguity policies	Sparse exact matches remain visible and were not optimized away.
Extended Data 6	B	manuscript/scripts/build_extended_data.py	source_tables/vdjdb_sensitivity_summary.tsv	78d9c9832559b6227a770d833cfc4e129a8fc80a2f4efd93ffed10b9fb34e5b2	Wells; GSE190905; GSE157007 plus VDJdb	distinct matched sequence	all 24 frozen match/assignment/ambiguity combinations	policy matrix	ambiguity fraction	descriptive frozen combinations	matching and ambiguity policies	Sparse exact matches remain visible and were not optimized away.
Extended Data 6	C	manuscript/scripts/build_extended_data.py	source_tables/vdjdb_grouping_comparison.tsv	66ae878e3cf5a4825a27a77e449a2a26d4099529ea21701d708ed68704cedae0	Wells plus VDJdb	sequence grouping	CDR3; nearest; fractional ambiguity	none	same-antigen pair fraction	descriptive grouping comparison	RFU and five receptor-property/random groupings	External annotation coherence is not antigen specificity.
Extended Data 6	D	manuscript/scripts/build_extended_data.py	source_tables/vdjdb_null_summary.tsv	98aaf1994afca50330c3f917ea1a5d1245faaff7af1cd68add9f5d37a0842b65	three public datasets plus VDJdb	matched label assignment	CDR3; nearest; fractional; completed 1,000-permutation cells	observed minus null mean	same-antigen pair-fraction difference	four size-preserving nulls	unrestricted, length, TRBV, TRBV+length	Nulls control only named receptor properties.
