figure	panel	placement	priority	scientific_question	dataset	analysis_unit	exact_source_table	x_or_schematic_elements	y_or_readout	statistical_summary	comparator	visual_form	one_sentence_result	caveat	evidence_status
Figure 1	1A	Main	Essential	What problem does a frozen functional-unit representation solve?	Conceptual; frozen RFU reference	Receptor sequence and feature representation	SCHEMATIC: docs/methodological_novelty.md; docs/methods_freeze.md	Heterogeneous CDR3 sequences -> exact-CDR3 queries -> frozen RFU reference -> shared RFU features	Sequence identity and RFU identity retained side by side	None	Exact CDR3 and conventional repertoire summaries	Concept schematic	A frozen RFU reference maps heterogeneous receptor sequences into a common feature vocabulary without replacing exact sequence identity.	Schematic is explanatory and does not demonstrate performance or biological equivalence.	SCHEMATIC_ONLY
Figure 1	1B	Main	Essential	How are AIRR chains and RFU annotations represented in AnnData and MuData?	Native AIRR AnnData/MuData	AIRR chain nested within observation	SCHEMATIC: docs/scverse_storage_schema.md	obsm['airr'] aligned positionally with obsm['scrfu']; uns['scrfu'] provenance; optional obs summary	Eligible, RFU ID, label, score, threshold state and assignment status per chain	Schema invariants; no inferential statistic	Unannotated AIRR object	Object-layout schematic	The chain-aligned schema preserves every AIRR chain and stores portable RFU provenance without touching expression data.	AnnData support for Awkward arrays is upstream experimental; this panel is architectural.	SCHEMATIC_ONLY
Figure 1	1C	Main	Essential	What is the native user workflow and where does Scirpy remain responsible?	Scverse workflow	Software operation	SCHEMATIC: docs/scirpy_interoperability_scope.md; docs/scverse_tutorial.md	Scirpy AIRR input -> index_chains optional -> scrfu.tl.assign_rfu -> explicit cell summary -> Scanpy/Scirpy grouping	Delegation boundary between Scirpy and scRFU	None	Scirpy clonotype/repertoire APIs versus RFU-specific assignment and analysis	Workflow schematic with API callouts	scRFU adds frozen functional-unit assignment and RFU-specific analyses while retaining Scirpy as the general AIRR ecosystem layer.	No ownership is claimed over Scirpy data structures, indexing or clonotype functionality.	SCHEMATIC_ONLY
Figure 1	1D	Main	Essential	Does native Scirpy execution reproduce the canonical table path on public data?	Scirpy wu2020_3k	Eligible TRB chain	wu2020_3k/official_run/summary.tsv; wu2020_3k/official_run/run_manifest.json	Execution path: canonical table versus native H5MU	Mismatch count across 2,931 eligible TRB chains	Exact mismatch count and maximum score difference	Canonical table execution	Parity glyphs plus compact count bars	Native and table execution agreed for all 2,931 eligible public-data TRB chains with zero mismatches.	Interoperability demonstration uses a 3,000-cell public example and official RFU execution was validated on Linux.	SUFFICIENT
Figure 1	1E	Main	Optional	How does chain-level output become an explicitly requested cell-level value?	Synthetic multi-chain AIRR fixtures	Cell with zero, one or multiple eligible TRB chains	TEST EVIDENCE: tests/test_scverse_native.py; docs/scverse_storage_schema.md	All chain records -> ambiguity-aware or named summary policy	RFU cell summary or missing value under conflict	Exact policy assertions	ambiguity_aware, highest_score, highest_threshold_score, first_eligible, primary_vdj	Decision schematic	Cell-level summaries are opt-in and ambiguity-aware by default, preventing silent collapse of conflicting multi-TRB assignments.	This is validated software behavior, not a quantitative biological result.	TEST_EVIDENCE_ONLY
Figure 2	2A	Main	Essential	Does scRFU reproduce the official canonical RFU implementation?	Adversarial parity fixture plus official RFU	Eligible receptor row	original_rfu_parity/figure1_original_rfu_parity.tsv; original_rfu_parity/summary.json	Parity category	Match count, mismatch count and maximum absolute score difference	Exact comparison at tolerance 1e-12	Official upstream AssignRFUs()	Parity matrix with score-difference inset	All 10 eligible rows matched official RFU IDs, labels, thresholds and reconstruction, with maximum score difference zero.	The fixture targets adversarial semantics but is not repertoire-scale accuracy evidence.	SUFFICIENT
Figure 2	2B	Main	Essential	Can the canonical workflow process a full single-cell atlas without expression loading?	Full Wells atlas	Source cell, productive TRB row and unique CDR3 query	Wells/full/evidence_manifest_full_rfu.json; Wells/full/full_run/run_manifest.fresh.json	Workflow stage or count category	610,429 source cells, 303,088 productive TRB rows, 192,675 unique queries, runtime and peak RSS	Observed point estimates from one Linux host	Input rows versus deduplicated unique queries	Annotated execution funnel	The receptor-only full Wells workflow assigned 192,675 unique CDR3 queries from 610,429 cells with approximately 8.5-minute total runtime and 3.42-GB peak RSS.	Runtime and memory are hardware-specific; targeted HDF5 extraction, not native in-memory MuData, was used at full scale.	SUFFICIENT
Figure 2	2C	Main	Essential	Are assignments invariant to chunking, parallelism and processing order?	Bounded Wells 1k, 10k and 25k	Execution configuration and reconstructed receptor row	wells_bounded/figure1_scaling_source.tsv	Unique queries or source cells; worker and chunk configuration	Wall time and exact assignment-hash equality	Observed wall time; exact hash/score invariance	Serial versus two workers; chunk sizes; shuffled order	Runtime lines with invariance strip	Two-worker execution reduced bounded runtime while serial, parallel, chunk and shuffled-order results remained scientifically identical.	Speedups are host-specific and 20k chunks were not meaningful for these bounded query counts.	SUFFICIENT
Figure 2	2D	Main	Essential	Does restartable caching avoid scientific recomputation?	Wells 25k and full Wells	Fresh or resumed execution	wells_bounded/figure1_scaling_source.tsv; Wells/full/full_run/run_manifest.resume.json	Execution state: fresh versus resume	Wall time and reused chunk count	Observed runtime; exact output equality	Fresh versus resumed execution	Paired log-scale runtime bars	Validated caches reduced 25k resume time to about 0.21 seconds and full backend resume to about 1.33 seconds without changing assignments.	Resume requires identical inputs, RFU artifacts, threshold and execution identity.	SUFFICIENT
Figure 2	2E	Main	Essential	Does the native AnnData/MuData path scale while retaining table parity?	Deterministic Wells native subsets	Selected source cell and eligible TRB chain	native_scale/25k/source_table.tsv; native_scale/100k/source_table.tsv; native_scale/250k/source_table.tsv	Selected cells: 25k, 100k, 250k	Fresh and cached seconds, peak RSS and mismatch count	Observed point estimates; exact mismatch count	Native AIRR path versus canonical table results	Two-axis scaling plot plus zero-mismatch strip	Native assignment scaled from 25k to 250k cells with zero table or reload mismatches and bounded parent memory.	These are receptor-only X=None objects on one Linux host; backed mutation and a native 610k MuData run are not claimed.	SUFFICIENT
